phase,dayno,mood_relaxed,mood_down,mood_irritat,mood_satisfi,mood_lonely,mood_anxious,mood_enthus,mood_suspic,mood_cheerf,mood_guilty,mood_doubt,mood_strong,pat_restl,pat_agitate,pat_worry,pat_concent,se_selflike,se_ashamed,se_selfdoub
1,253,4,0,1,5,0,0,3,1,4,0,3,5,1,1,1,5,5,1,2
1,253,5,0,2,5,0,0,4,1,4,0,1,5,1,1,1,5,5,1,1
1,253,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,1,1,1
2,254,4,1,2,4,1,0,3,1,4,1,4,3,2,2,1,4,5,1,1
2,254,3,0,2,3,0,0,3,1,4,1,3,4,3,3,1,4,5,2,3
2,254,4,1,3,3,1,0,3,1,3,0,2,3,1,3,1,5,5,1,3
2,254,4,1,1,4,0,0,3,1,4,0,2,3,2,2,1,4,5,1,3
2,254,5,0,1,4,0,0,3,1,4,-1,2,4,2,2,2,5,5,1,2
2,254,4,0,3,4,0,0,3,1,4,0,1,4,2,2,1,5,5,1,2
2,254,5,-1,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
2,254,5,0,1,5,0,0,5,1,5,0,1,5,1,2,1,5,5,5,1
2,254,5,0,2,5,0,0,1,1,5,0,2,5,2,2,1,5,5,1,1
2,255,5,0,1,5,0,0,4,1,5,0,2,4,2,1,1,5,5,1,1
2,255,4,1,2,3,1,0,4,1,3,0,2,3,1,3,1,4,5,1,3
2,255,4,1,3,4,0,0,3,1,4,0,2,4,2,2,1,4,5,1,2
2,255,4,1,3,4,0,0,3,1,3,0,2,3,3,3,1,4,5,1,2
2,255,3,0,3,3,0,0,3,1,4,0,2,4,3,3,1,5,5,1,3
2,255,3,0,4,3,0,0,3,1,3,0,1,4,4,4,1,5,4,1,2
2,255,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
2,256,5,0,1,5,0,0,3,1,4,0,2,4,1,1,2,2,5,1,2
2,256,5,0,2,5,0,0,3,2,5,0,2,5,1,1,1,5,5,1,1
2,256,4,0,1,5,-1,0,4,1,5,0,1,5,1,2,1,5,5,1,1
2,256,4,0,2,4,0,0,5,1,5,0,1,4,3,2,1,5,5,1,1
